mnemonic,family,eew_bits,width,mop,nf,sumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vssseg4e16.v,Segment strided,16,0b101,0b10,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg4e32.v,Segment strided,32,0b110,0b10,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg4e64.v,Segment strided,64,0b111,0b10,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg4e8.v,Segment strided,8,0b000,0b10,0b011,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg5e16.v,Segment strided,16,0b101,0b10,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg5e32.v,Segment strided,32,0b110,0b10,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg5e64.v,Segment strided,64,0b111,0b10,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg5e8.v,Segment strided,8,0b000,0b10,0b100,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg6e16.v,Segment strided,16,0b101,0b10,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg6e32.v,Segment strided,32,0b110,0b10,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg6e64.v,Segment strided,64,0b111,0b10,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg6e8.v,Segment strided,8,0b000,0b10,0b101,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg7e16.v,Segment strided,16,0b101,0b10,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg7e32.v,Segment strided,32,0b110,0b10,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg7e64.v,Segment strided,64,0b111,0b10,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg7e8.v,Segment strided,8,0b000,0b10,0b110,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
