mnemonic,family,profile,eew_bits,width,mop,nf,lumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vluxei64.v,Indexed unordered,RV32 V 제외 (EEW=64 index),64,0b111,0b01,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxei8.v,Indexed unordered,Zve32x/Zve64x base,8,0b000,0b01,0b000,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vlm.v,Mask memory,Zve32x/Zve64x base,8,0b000,0b00,0b000,0b01011,1,yes,yes,tb_vcore_vld_decode_table,"SEW x LMUL(분수 포함) x vl x vstart x vta/vma/vm, golden reference 32 레지스터 전수 비교","요청 집합 정확성(T1), flush drain(T2), bus error(T3), busy_o(T4), 연속 발행(T5), MO 클록(T6)",
vloxseg2ei16.v,Segment indexed ordered,Zve32x/Zve64x base,16,0b101,0b11,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg2ei32.v,Segment indexed ordered,Zve32x/Zve64x base,32,0b110,0b11,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg2ei64.v,Segment indexed ordered,RV32 V 제외 (EEW=64 index),64,0b111,0b11,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg2ei8.v,Segment indexed ordered,Zve32x/Zve64x base,8,0b000,0b11,0b001,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg3ei16.v,Segment indexed ordered,Zve32x/Zve64x base,16,0b101,0b11,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg3ei32.v,Segment indexed ordered,Zve32x/Zve64x base,32,0b110,0b11,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg3ei64.v,Segment indexed ordered,RV32 V 제외 (EEW=64 index),64,0b111,0b11,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg3ei8.v,Segment indexed ordered,Zve32x/Zve64x base,8,0b000,0b11,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg4ei16.v,Segment indexed ordered,Zve32x/Zve64x base,16,0b101,0b11,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg4ei32.v,Segment indexed ordered,Zve32x/Zve64x base,32,0b110,0b11,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg4ei64.v,Segment indexed ordered,RV32 V 제외 (EEW=64 index),64,0b111,0b11,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg4ei8.v,Segment indexed ordered,Zve32x/Zve64x base,8,0b000,0b11,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg5ei16.v,Segment indexed ordered,Zve32x/Zve64x base,16,0b101,0b11,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg5ei32.v,Segment indexed ordered,Zve32x/Zve64x base,32,0b110,0b11,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vloxseg5ei64.v,Segment indexed ordered,RV32 V 제외 (EEW=64 index),64,0b111,0b11,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
